Timestamp,date,respondent_id,How many alarms did it take to wake up?,How refreshed do you feel now?,How alert do you feel right now?,How long did you sleep (in hh:mm),hours_slept,Did you do any strenuous activity yesterday (such as workout/gym etc.)?,How stressed were you last night?
2018/11/29 1:43:56 PM PST,11/29/18,11,Woke up before/without an alarm,Refreshed,Neutral,8:45,8.75,No,Somewhat Stressed
2018/11/30 8:40:26 AM PST,11/30/18,11,Woke up before/without an alarm,Refreshed,Neutral,6:40,6.66,No,Not at all stressed
2018/12/01 11:01:21 AM PST,12/1/18,11,1,Tired,Neutral,7:00,7,No,Not at all stressed
2018/12/02 10:16:54 AM PST,12/2/18,11,2,Refreshed,Neutral,7:45,7.75,No,Not at all stressed
2018/12/03 9:22:36 AM PST,12/3/18,11,1,Tired,Somewhat not alert,5:30,5.5,No,Neutral
2018/12/04 10:52:00 AM PST,12/4/18,11,Woke up before/without an alarm,Tired,Somewhat not alert,5:30,5.5,No,Very Stressed
2018/12/05 9:36:17 AM PST,12/5/18,11,1,Refreshed,Somewhat Alert,7:30,7.5,No,Not at all stressed
2018/12/06 4:57:55 PM PST,12/6/18,11,3,Tired,Somewhat not alert,5:00,5,No,Very Stressed
2018/11/30 1:14:36 AM PST,11/30/18,30,3,Refreshed,Very Alert,7:15,7.25,No,Somewhat Stressed
2018/11/30 11:02:15 PM PST,12/1/18,30,1,Tired,Somewhat not alert,5 hours,5,No,Somewhat Stressed
2018/12/02 5:05:32 PM PST,12/3/18,30,3,Neutral,Somewhat Alert,5:00,5,No,Somewhat Stressed
2018/12/03 12:40:34 AM PST,12/4/18,30,3,Very Tired,Not at all alert,3:00,3,No,Very Stressed
2018/12/04 2:06:39 AM PST,12/5/18,30,1,Neutral,Somewhat Alert,5:00,5,No,Somewhat Stressed
2018/12/05 2:30:11 AM PST,12/6/18,30,1,Refreshed,Somewhat Alert,8:00,8,Yes,Somewhat Stressed
2018/11/30 5:34:28 PM PST,12/1/18,44,2,Neutral,Somewhat not alert,6:00,6,Yes,Not at all stressed
2018/12/02 12:43:46 AM PST,12/2/18,44,3,Tired,Somewhat not alert,6:00,6,Yes,Very Stressed
2018/12/02 6:46:39 PM PST,12/3/18,44,3,Refreshed,Somewhat Alert,6:00,6,No,Somewhat Stressed
2018/12/03 8:39:22 PM PST,12/4/18,44,1,Neutral,Neutral,6:00,6,Yes,Somewhat Stressed
