respondent_id,What timezone are you in?,Country,Enter your Age,What is your current profession? Please mention degree and year if you are a student,How many hours a night do you sleep on average?,What kind of a sleeper are you?,How many alarms do you typically keep at night?,How close is your alarm device to you when you sleep?,Do you have roommates whose actions disturb your sleep?,Do you suffer from Insomnia?,How much light comes into your bedroom in the morning?,Do you hear traffic noises in your bedroom?,Do you have a kid under 4 years old?,Where do you live?,11/29/18,11/30/18,12/1/18,12/2/18,12/3/18,12/4/18,12/5/18,12/6/18
1,CST,USA,25,Business Analyst,9,Deep Sleeper,2,Within Arm's reach,No,No,Medium,No,No,Apartment,0,0,1,0,1,1,1,0
2,CST,USA,27,Data Scientist,8,Light Sleeper,2,Within Arm's reach,No,No,Medium,No,No,Apartment,0,0,1,0,0,1,1,1
3,Pacific Standard Time,USA,27,Student - MIMS 19,7.5,Deep Sleeper,2,Within Arm's reach,Yes,No,Medium,No,No,Independent House,0,0,0,1,1,1,1,0
4,Pacific,USA,29,Product Manager,6,Light Sleeper,1,Within Arm's reach,No,No,Low,Yes,No,Apartment,0,0,1,0,0,1,0,1
5,Pacific,USA,25,MIMS ‘19,8.5,Deep Sleeper,1,Have to get out of bed,No,No,Medium,No,No,Apartment,0,1,0,1,0,0,0,1
6,PT,USA,25,Student,6,Deep Sleeper,2,Within Arm's reach,No,No,Medium,No,No,Independent House,0,1,1,0,0,0,0,1
7,PST,USA,28,Student ,6,Deep Sleeper,3 or More,Within Arm's reach,Yes,No,Low,Yes,No,Apartment,1,1,1,0,0,0,0,1
8,PST,USA,,MIMS,6,Light Sleeper,1,Within Arm's reach,Yes,No,Medium,No,No,Apartment,1,1,0,1,0,0,1,0
9,PST,USA,28,degree,7,Light Sleeper,2,Within Arm's reach,No,No,High,No,No,Apartment,1,0,1,0,0,1,1,0
10,Pacific Time Zone,USA,,"student, MIMS 20, First year",5,Deep Sleeper,1,Within Arm's reach,No,No,Medium,No,No,Apartment,0,1,0,1,1,0,1,0
11,PST,USA,26,Graduate Student - MIMS,6,Light Sleeper,3 or More,Within Arm's reach,Yes,No,Medium,No,No,Independent House,0,1,0,1,0,0,1,1
12,Pacific Time,USA,26,"MIMS, 2nd year",8,Light Sleeper,3 or More,Within Arm's reach,Yes,No,Low,No,No,Apartment,0,1,1,0,1,0,0,1
13,PST,USA,27,student,9,Deep Sleeper,2,Within Arm's reach,No,No,Medium,Yes,No,Apartment,0,1,0,1,1,0,0,1
14,PST,USA,26,2nd year Grad,8,Deep Sleeper,3 or More,Within Arm's reach,No,No,Low,No,No,Independent House,1,1,1,0,0,0,0,1
15,PST,USA,26,MIMS 2019,7,Deep Sleeper,1,Within Arm's reach,No,No,Medium,No,No,Apartment,1,1,1,0,1,0,1,0
16,PST,USA,29,Student,5,Deep Sleeper,3 or More,Within Arm's reach,Yes,No,Medium,Yes,No,Apartment,0,0,1,0,0,1,0,1
17,PDT,USA,33,MIMS 20,7,Deep Sleeper,1,Within Arm's reach,No,No,Medium,Yes,No,Apartment,1,0,0,1,1,1,1,0
